file_name,station_id,begin_time,phase_type,phase_time,phase_score,polarity,sharpness
nc72086051.mseed,PB.B934..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:01.440,0.754,U,E
nc72086051.mseed,PB.B935..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:56.130,0.964,U,I
nc72086051.mseed,TA.M02C..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:02.530,0.886,U,I
nc72086051.mseed,TA.O02D..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:05.520,0.879,U,I
nc72086051.mseed,TA.N02D..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:03.330,0.92,U,I
nc51207829.mseed,NC.GCW..EHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:06.440,0.924,D,I
nc51207829.mseed,BK.WDC..HHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:10.220,0.847,D,I
nc51207829.mseed,BK.GASB..HHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:01.080,0.963,U,I
nc51207829.mseed,BK.YBH..HHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:27.220,0.772,U,I
nc51207829.mseed,NC.GHL..EHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:08.210,0.936,D,I
nc51207829.mseed,NC.GWR..EHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:04.850,0.927,D,I
nc51207829.mseed,NC.KCPB..HHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:36:59.330,0.967,U,I
nc51207829.mseed,NC.KHBB..HHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:08.900,0.755,D,E
nc51207829.mseed,NC.KMR..HHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:04.460,0.844,U,E
nc51207829.mseed,BK.WDC..HHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:10.220,0.847,U,E
nc51207829.mseed,XQ.ME03.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:25.450,0.769,U,E
nc51207829.mseed,XQ.ME08.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:41.060,0.948,U,E
