# Snuffler Markers File Version 0.2
phase: 2008-07-25 08:31:58.76000  0 XQ.ME32.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:31:58.85000  0 NC.KMPB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:31:59.08405  0 NC.KHMB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:31:59.21000  0 XQ.ME39.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:31:59.40000  0 XQ.ME30.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:31:59.95000  0 XQ.ME35.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:32:00.50000  0 XQ.ME31.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:32:00.89535  0 XQ.ME38.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:32:01.69000  0 NC.KHBB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:32:02.09310  0 XQ.ME27.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:32:02.22000  0 NC.KRP..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:32:02.44557  0 XQ.ME07.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:32:02.51000  0 XQ.ME36.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:32:02.69475  0 XQ.ME49.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:32:02.87000  0 BK.JCC..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:32:03.39000  0 XQ.ME37.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:32:03.69000  0 NC.KCT..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:32:04.79000  0 NC.KMR..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:32:05.05622  0 XQ.ME13.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:32:05.58912  0 NC.KCPB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:32:05.75466  0 XQ.ME29.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:32:06.00777  0 XQ.ME04.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:32:06.47000  0 XQ.ME39.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:32:06.79000  0 XQ.ME30.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:32:06.90382  0 XQ.ME50.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:32:06.93622  0 XQ.ME42.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:32:07.38000  0 NC.KRMB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:32:08.34191  0 XQ.ME56.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:32:08.62000  0 BK.WDC..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:32:08.94040  0 XQ.ME09.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:32:09.10534  0 XQ.ME43.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:32:09.52000  0 XQ.ME38.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:32:09.66588  0 XQ.ME44.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:32:09.79000  0 XQ.ME03.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
