station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,sta_dist_km
PB.B049..EH,2010-10-27T20:04:11.300,3610,2010-10-27 20:04:47.400000,0.973,P,nc71480081.mseed,1984.2891845703125,1984.2891845703125,29.21
NC.KCT..HN,2010-10-27T20:04:11.300,3658,2010-10-27 20:04:47.880000,0.972,P,nc71480081.mseed,3.1593589782714844,3.1593589782714844,30.13
PB.B935..EH,2010-10-27T20:04:11.300,4125,2010-10-27 20:04:52.550000,0.962,P,nc71480081.mseed,814.463134765625,814.463134765625,56.71
PB.B046..EH,2013-11-26T05:47:50.710,3287,2013-11-26 05:48:23.580000,0.98,P,nc72109965.mseed,72190.71875,72190.71875,10.83
NC.KCO..EH,2013-11-26T05:47:50.710,3346,2013-11-26 05:48:24.170000,0.977,P,nc72109965.mseed,1753.543701171875,1753.543701171875,13.11
PB.B932..EH,2013-11-26T05:47:50.710,3369,2013-11-26 05:48:24.400000,0.981,P,nc72109965.mseed,26570.076171875,26570.076171875,16.22
NC.KCT..HN,2013-11-26T05:47:50.710,3474,2013-11-26 05:48:25.450000,0.962,P,nc72109965.mseed,11.41017723083496,11.41017723083496,20.29
PB.B047..EH,2013-11-26T05:47:50.710,3468,2013-11-26 05:48:25.390000,0.982,P,nc72109965.mseed,23613.986328125,23613.986328125,21.11
NC.KSM.02.EH,2013-11-26T05:47:50.710,3514,2013-11-26 05:48:25.850000,0.976,P,nc72109965.mseed,1663.093505859375,1663.093505859375,23.55
NC.KMPB..HN,2013-11-26T05:47:50.710,3586,2013-11-26 05:48:26.570000,0.98,P,nc72109965.mseed,9.846758842468262,9.846758842468262,27.65
PB.B045..EH,2013-11-26T05:47:50.710,3771,2013-11-26 05:48:28.420000,0.98,P,nc72109965.mseed,7084.41748046875,7084.41748046875,38.09
PB.B933..EH,2013-11-26T05:47:50.710,3857,2013-11-26 05:48:29.280000,0.974,P,nc72109965.mseed,3195.703857421875,3195.703857421875,46.05
PB.B049..EH,2013-11-26T05:47:50.710,3983,2013-11-26 05:48:30.540000,0.961,P,nc72109965.mseed,2407.152099609375,2407.152099609375,50.61
NC.KCR.02.EH,2013-11-26T05:47:50.710,4045,2013-11-26 05:48:31.160000,0.949,P,nc72109965.mseed,1577.83984375,1577.83984375,51.86
Z5.GB360..HH,2013-11-26T05:47:50.710,3994,2013-11-26 05:48:30.650000,0.976,P,nc72109965.mseed,101916.6484375,101916.6484375,54.27
PB.B935..EH,2013-11-26T05:47:50.710,4402,2013-11-26 05:48:34.730000,0.889,P,nc72109965.mseed,420.1018371582031,420.1018371582031,73.64
NC.KBS.02.EH,2013-11-26T05:47:50.710,4475,2013-11-26 05:48:35.460000,0.97,P,nc72109965.mseed,1628.0391845703125,1628.0391845703125,81.39
NC.KKP..EH,2013-11-26T05:47:50.710,4557,2013-11-26 05:48:36.280000,0.904,P,nc72109965.mseed,439.8260498046875,439.8260498046875,81.78
NC.KIP..EH,2013-11-26T05:47:50.710,4655,2013-11-26 05:48:37.260000,0.868,P,nc72109965.mseed,1639.5540771484375,1639.5540771484375,96.21
NC.KCPB..HN,2013-11-26T05:47:50.710,4657,2013-11-26 05:48:37.280000,0.968,P,nc72109965.mseed,5.114622116088867,5.114622116088867,98.19
NC.KFP..EH,2013-11-26T05:47:50.710,4827,2013-11-26 05:48:38.980000,0.976,P,nc72109965.mseed,961.1702880859376,961.1702880859376,111.67
NC.KBN..EH,2013-11-26T05:47:50.710,4912,2013-11-26 05:48:39.830000,0.94,P,nc72109965.mseed,241.2909240722656,241.2909240722656,113.02
NC.GTC..EH,2013-11-26T05:47:50.710,4949,2013-11-26 05:48:40.200000,0.958,P,nc72109965.mseed,827.0439453125,827.0439453125,123.93
NC.KRK..EH,2013-11-26T05:47:50.710,5115,2013-11-26 05:48:41.860000,0.951,P,nc72109965.mseed,374.5573120117187,374.5573120117187,132.97
NC.GNA.02.EH,2013-11-26T05:47:50.710,5135,2013-11-26 05:48:42.060000,0.954,P,nc72109965.mseed,463.6427001953125,463.6427001953125,139.48
NC.LGP..EH,2013-11-26T05:47:50.710,5375,2013-11-26 05:48:44.460000,0.903,P,nc72109965.mseed,277.8288879394531,277.8288879394531,149.9
NC.GHO..EH,2013-11-26T05:47:50.710,5357,2013-11-26 05:48:44.280000,0.948,P,nc72109965.mseed,181.85606384277344,181.85606384277344,158.15
NC.GGU..EH,2013-11-26T05:47:50.710,5596,2013-11-26 05:48:46.670000,0.913,P,nc72109965.mseed,160.43780517578125,160.43780517578125,178.47
PB.B049..EH,2019-05-08T11:38:45.120,3431,2019-05-08 11:39:19.430000,0.985,P,nc73178780.mseed,1209.95947265625,1209.95947265625,9.02
NP.1591.10.HN,2019-05-08T11:38:45.120,3455,2019-05-08 11:39:19.670000,0.983,P,nc73178780.mseed,2.066148519515991,2.066148519515991,9.05
NC.KMR..HN,2019-05-08T11:38:45.120,3494,2019-05-08 11:39:20.060000,0.962,P,nc73178780.mseed,1.265458345413208,1.265458345413208,13.93
PB.B047..EH,2019-05-08T11:38:45.120,3634,2019-05-08 11:39:21.460000,0.977,P,nc73178780.mseed,2732.4482421875,2732.4482421875,27.71
PB.B045..EH,2019-05-08T11:38:45.120,3691,2019-05-08 11:39:22.030000,0.928,P,nc73178780.mseed,539.4454956054688,539.4454956054688,32.24
PB.B932..EH,2019-05-08T11:38:45.120,3669,2019-05-08 11:39:21.810000,0.98,P,nc73178780.mseed,687.8984375,687.8984375,32.79
PB.B935..EH,2019-05-08T11:38:45.120,3855,2019-05-08 11:39:23.670000,0.905,P,nc73178780.mseed,238.61862182617188,238.61862182617188,42.83
NC.KIP..EH,2019-05-08T11:38:45.120,3949,2019-05-08 11:39:24.610000,0.931,P,nc73178780.mseed,251.9857635498047,251.9857635498047,51.26
NC.LBP..EH,2019-05-08T11:38:45.120,4403,2019-05-08 11:39:29.150000,0.851,P,nc73178780.mseed,124.41802215576172,124.41802215576172,85.3
NC.LPG..EH,2019-05-08T11:38:45.120,4654,2019-05-08 11:39:31.660000,0.903,P,nc73178780.mseed,151.20574951171875,151.20574951171875,100.26
NC.LVR..EH,2019-05-08T11:38:45.120,4666,2019-05-08 11:39:31.780000,0.882,P,nc73178780.mseed,147.45506286621094,147.45506286621094,102.56
NC.KHBB..HN,2017-07-25T00:22:01.650,3511,2017-07-25 00:22:36.760000,0.979,P,nc72847541.mseed,21.003080368041992,21.003080368041992,5.62
PB.B935..EH,2017-07-25T00:22:01.650,3731,2017-07-25 00:22:38.960000,0.956,P,nc72847541.mseed,7274.337890625,7274.337890625,32.34
NC.KPP..EH,2017-07-25T00:22:01.650,3791,2017-07-25 00:22:39.560000,0.972,P,nc72847541.mseed,778.9456787109375,778.9456787109375,36.57
NC.KHMB..HN,2017-07-25T00:22:01.650,3859,2017-07-25 00:22:40.240000,0.962,P,nc72847541.mseed,5.186739444732666,5.186739444732666,44.13
NC.LGP..EH,2017-07-25T00:22:01.650,3882,2017-07-25 00:22:40.470000,0.978,P,nc72847541.mseed,1660.682373046875,1660.682373046875,46.93
NC.LBP..EH,2017-07-25T00:22:01.650,3931,2017-07-25 00:22:40.960000,0.963,P,nc72847541.mseed,1606.3350830078125,1606.3350830078125,51.99
NC.KCR.02.EH,2017-07-25T00:22:01.650,3987,2017-07-25 00:22:41.520000,0.952,P,nc72847541.mseed,1634.9820556640625,1634.9820556640625,52.82
BK.TRIN.00.HN,2017-07-25T00:22:01.650,4039,2017-07-25 00:22:42.040000,0.964,P,nc72847541.mseed,5.286336898803711,5.286336898803711,59.46
NC.KKP..EH,2017-07-25T00:22:01.650,4123,2017-07-25 00:22:42.880000,0.956,P,nc72847541.mseed,1445.60400390625,1445.60400390625,60.25
NC.KMR..HN,2017-07-25T00:22:01.650,4113,2017-07-25 00:22:42.780000,0.957,P,nc72847541.mseed,1.4066264629364014,1.4066264629364014,63.15
NC.LSF..EH,2017-07-25T00:22:01.650,4118,2017-07-25 00:22:42.830000,0.965,P,nc72847541.mseed,1669.7144775390625,1669.7144775390625,64.37
PB.B049..EH,2017-07-25T00:22:01.650,4119,2017-07-25 00:22:42.840000,0.984,P,nc72847541.mseed,5077.21044921875,5077.21044921875,66.04
NC.LBK..EH,2017-07-25T00:22:01.650,4163,2017-07-25 00:22:43.280000,0.969,P,nc72847541.mseed,1667.1927490234375,1667.1927490234375,69.46
NC.LPG..EH,2017-07-25T00:22:01.650,4306,2017-07-25 00:22:44.710000,0.919,P,nc72847541.mseed,1547.400146484375,1547.400146484375,77.2
