station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,diting_polarity,diting_sharpness,pyrocko_phase_time,pyrocko_polarity
NC.KCO..EH,2014-08-25 21:56:50.090,4372,2014-08-25 21:57:33.810,0.895,P,nc72284206.mseed,485.041259765625,485.041259765625,D,I,,
NC.KCPB..HH,2014-08-25 21:56:50.090,4390,2014-08-25 21:57:33.990,0.839,P,nc72284206.mseed,1470.174560546875,1470.174560546875,U,E,,
NC.KCR.02.EH,2014-08-25 21:56:50.090,3922,2014-08-25 21:57:29.310,0.949,P,nc72284206.mseed,1797.8326416015625,1797.8326416015625,U,I,,
NC.KCS..EH,2014-08-25 21:56:50.090,3673,2014-08-25 21:57:26.820,0.951,P,nc72284206.mseed,1751.4190673828125,1751.4190673828125,U,I,,
NC.KFP..EH,2014-08-25 21:56:50.090,4390,2014-08-25 21:57:33.990,0.895,P,nc72284206.mseed,331.9583435058594,331.9583435058594,U,E,,
NC.KHBB..HH,2014-08-25 21:56:50.090,3663,2014-08-25 21:57:26.720,0.984,P,nc72284206.mseed,26905.669921875,26905.669921875,D,I,,
NC.KHMB..HH,2014-08-25 21:56:50.090,4137,2014-08-25 21:57:31.460,0.931,P,nc72284206.mseed,8933.615234375,8933.615234375,D,E,,
NC.KIP..EH,2014-08-25 21:56:50.090,4207,2014-08-25 21:57:32.160,0.969,P,nc72284206.mseed,1170.8721923828125,1170.8721923828125,D,E,,
NC.KKP..EH,2014-08-25 21:56:50.090,3823,2014-08-25 21:57:28.320,0.923,P,nc72284206.mseed,1074.3785400390625,1074.3785400390625,U,E,,
NC.KMPB..HH,2014-08-25 21:56:50.090,4203,2014-08-25 21:57:32.120,0.849,P,nc72284206.mseed,5929.97412109375,5929.97412109375,U,E,,
NC.KMR..HH,2014-08-25 21:56:50.090,3902,2014-08-25 21:57:29.110,0.979,P,nc72284206.mseed,15821.6162109375,15821.6162109375,U,I,,
NC.KOM.02.EH,2014-08-25 21:56:50.090,4543,2014-08-25 21:57:35.520,0.928,P,nc72284206.mseed,326.23565673828125,326.23565673828125,U,E,,
NC.KPP..EH,2014-08-25 21:56:50.090,3551,2014-08-25 21:57:25.600,0.959,P,nc72284206.mseed,1898.563720703125,1898.563720703125,D,I,,
NC.KRK..EH,2014-08-25 21:56:50.090,4593,2014-08-25 21:57:36.020,0.908,P,nc72284206.mseed,104.02787017822266,104.02787017822266,D,E,,
NC.KRMB..HH,2014-08-25 21:56:50.090,4985,2014-08-25 21:57:39.940,0.947,P,nc72284206.mseed,891.298095703125,891.298095703125,U,I,,
NC.KRP..HH,2014-08-25 21:56:50.090,4699,2014-08-25 21:57:37.080,0.966,P,nc72284206.mseed,1832.2408447265625,1832.2408447265625,U,I,,
NC.KSM.02.EH,2014-08-25 21:56:50.090,4309,2014-08-25 21:57:33.180,0.944,P,nc72284206.mseed,883.7880249023438,883.7880249023438,D,I,,
NC.LBK..EH,2014-08-25 21:56:50.090,4482,2014-08-25 21:57:34.910,0.913,P,nc72284206.mseed,1268.6102294921875,1268.6102294921875,D,E,,
NC.LBP..EH,2014-08-25 21:56:50.090,3724,2014-08-25 21:57:27.330,0.978,P,nc72284206.mseed,1947.0928955078125,1947.0928955078125,U,I,,
NC.LGP..EH,2014-08-25 21:56:50.090,4137,2014-08-25 21:57:31.460,0.944,P,nc72284206.mseed,1851.73583984375,1851.73583984375,U,I,,
NC.LPG..EH,2014-08-25 21:56:50.090,4025,2014-08-25 21:57:30.340,0.959,P,nc72284206.mseed,850.1837158203125,850.1837158203125,U,I,,
NC.LPK..EH,2014-08-25 21:56:50.090,5063,2014-08-25 21:57:40.720,0.909,P,nc72284206.mseed,382.20361328125,382.20361328125,D,E,,
