event_id,time,latitude,longitude,depth,mag,max_agap,dip_azimuth,strike,dip,rake,misfit,n_fmo,misfit_w_90ci,max_strike_90ci,max_dip_90ci,max_rake_90ci,multi_sol_flag
71281261,2009:09:15T13:11:33.08,39.78333333333333,-123.6,-0.03,2.05,131.0,105.0,195.0,65.0,-20.0,0.14,34,,23,20,40,0
71281556,2009:09:15T23:14:29.82,40.68333333333333,-124.8,26.41,2.57,226.0,190.0,100.0,5.0,40.0,0.07,44,,15,43,40,0
71283451,2009:09:19T23:56:24.17,40.483333333333334,-124.45,26.9,3.09,230.0,245.0,155.0,50.0,-170.0,0.12,64,,15,40,30,0
71283451,2009:09:19T23:56:24.17,40.483333333333334,-124.45,26.9,3.09,230.0,80.0,170.0,85.0,-100.0,0.14,64,,20,8,25,1
71284331,2009:09:21T19:11:18.24,39.833333333333336,-123.48333333333333,5.82,2.71,97.0,110.0,200.0,70.0,-10.0,0.14,55,,13,40,35,0
71294371,2009:10:05T19:27:35.15,39.81666666666667,-123.2,3.63,2.34,27.0,130.0,220.0,50.0,-30.0,0.15,45,,5,15,25,0
71294686,2009:10:06T02:34: 3.93,39.81666666666667,-123.21666666666667,4.97,2.04,59.0,235.0,145.0,65.0,-140.0,0.16,26,,18,23,20,0
71296646,2009:10:08T23:00:13.58,40.35,-124.23333333333333,23.11,2.37,125.0,90.0,180.0,10.0,-40.0,0.0,25,,33,5,30,0
71294810,2009:10:15T22:47:34.61,40.4,-124.63333333333334,25.55,2.53,235.0,185.0,95.0,75.0,-100.0,0.12,28,,10,18,15,0
71297115,2009:10:20T19:10:45.14,40.4,-124.61666666666666,23.36,3.1,234.0,105.0,195.0,10.0,-20.0,0.15,49,,8,10,10,0
71297115,2009:10:20T19:10:45.14,40.4,-124.61666666666666,23.36,3.1,234.0,210.0,120.0,50.0,150.0,0.19,49,,5,25,25,1
71305080,2009:11:04T15:21:39.98,40.266666666666666,-123.68333333333334,27.81,2.68,66.0,105.0,195.0,55.0,-80.0,0.23,39,,18,20,25,0
71312701,2009:11:10T05:03:57.02,40.3,-124.65,17.23,2.4,233.0,170.0,260.0,70.0,-120.0,0.09,26,,20,28,20,0
